,country,date,cases,population,density,size
6010,Taiwan*,2020-02-21,26,,,
6011,Taiwan*,2020-02-22,26,,,
6012,Taiwan*,2020-02-23,28,,,
6013,Taiwan*,2020-02-24,30,,,
6014,Taiwan*,2020-02-25,31,,,
6015,Taiwan*,2020-02-26,32,,,
6016,Taiwan*,2020-02-27,32,,,
6017,Taiwan*,2020-02-28,34,,,
6018,Taiwan*,2020-02-29,39,,,
6019,Taiwan*,2020-03-01,40,,,
6020,Taiwan*,2020-03-02,41,,,
6021,Taiwan*,2020-03-03,42,,,
6022,Taiwan*,2020-03-04,42,,,
6023,Taiwan*,2020-03-05,44,,,
6024,Taiwan*,2020-03-06,45,,,
6025,Taiwan*,2020-03-07,45,,,
6026,Taiwan*,2020-03-08,45,,,
6027,Taiwan*,2020-03-09,45,,,
6028,Taiwan*,2020-03-10,47,,,
6029,Taiwan*,2020-03-11,48,,,
6030,Taiwan*,2020-03-12,49,,,
6031,Taiwan*,2020-03-13,50,,,
6032,Thailand,2020-01-22,2,69799.978,136.624279199045,510889.9999999993
6033,Thailand,2020-01-23,3,69799.978,136.624279199045,510889.9999999993
6034,Thailand,2020-01-24,5,69799.978,136.624279199045,510889.9999999993
6035,Thailand,2020-01-25,7,69799.978,136.624279199045,510889.9999999993
6036,Thailand,2020-01-26,8,69799.978,136.624279199045,510889.9999999993
6037,Thailand,2020-01-27,8,69799.978,136.624279199045,510889.9999999993
6038,Thailand,2020-01-28,14,69799.978,136.624279199045,510889.9999999993
6039,Thailand,2020-01-29,14,69799.978,136.624279199045,510889.9999999993
6040,Thailand,2020-01-30,14,69799.978,136.624279199045,510889.9999999993
6041,Thailand,2020-01-31,19,69799.978,136.624279199045,510889.9999999993
6042,Thailand,2020-02-01,19,69799.978,136.624279199045,510889.9999999993
6043,Thailand,2020-02-02,19,69799.978,136.624279199045,510889.9999999993
6044,Thailand,2020-02-03,19,69799.978,136.624279199045,510889.9999999993
6045,Thailand,2020-02-04,25,69799.978,136.624279199045,510889.9999999993
6046,Thailand,2020-02-05,25,69799.978,136.624279199045,510889.9999999993
6047,Thailand,2020-02-06,25,69799.978,136.624279199045,510889.9999999993
6048,Thailand,2020-02-07,25,69799.978,136.624279199045,510889.9999999993
6049,Thailand,2020-02-08,32,69799.978,136.624279199045,510889.9999999993
6050,Thailand,2020-02-09,32,69799.978,136.624279199045,510889.9999999993
6051,Thailand,2020-02-10,32,69799.978,136.624279199045,510889.9999999993
6052,Thailand,2020-02-11,33,69799.978,136.624279199045,510889.9999999993
6053,Thailand,2020-02-12,33,69799.978,136.624279199045,510889.9999999993
6054,Thailand,2020-02-13,33,69799.978,136.624279199045,510889.9999999993
6055,Thailand,2020-02-14,33,69799.978,136.624279199045,510889.9999999993
6056,Thailand,2020-02-15,33,69799.978,136.624279199045,510889.9999999993
6057,Thailand,2020-02-16,34,69799.978,136.624279199045,510889.9999999993
6058,Thailand,2020-02-17,35,69799.978,136.624279199045,510889.9999999993
6059,Thailand,2020-02-18,35,69799.978,136.624279199045,510889.9999999993
6060,Thailand,2020-02-19,35,69799.978,136.624279199045,510889.9999999993
6061,Thailand,2020-02-20,35,69799.978,136.624279199045,510889.9999999993
6062,Thailand,2020-02-21,35,69799.978,136.624279199045,510889.9999999993
6063,Thailand,2020-02-22,35,69799.978,136.624279199045,510889.9999999993
6064,Thailand,2020-02-23,35,69799.978,136.624279199045,510889.9999999993
6065,Thailand,2020-02-24,35,69799.978,136.624279199045,510889.9999999993
6066,Thailand,2020-02-25,37,69799.978,136.624279199045,510889.9999999993
6067,Thailand,2020-02-26,40,69799.978,136.624279199045,510889.9999999993
6068,Thailand,2020-02-27,40,69799.978,136.624279199045,510889.9999999993
6069,Thailand,2020-02-28,41,69799.978,136.624279199045,510889.9999999993
6070,Thailand,2020-02-29,42,69799.978,136.624279199045,510889.9999999993
6071,Thailand,2020-03-01,42,69799.978,136.624279199045,510889.9999999993
6072,Thailand,2020-03-02,43,69799.978,136.624279199045,510889.9999999993
6073,Thailand,2020-03-03,43,69799.978,136.624279199045,510889.9999999993
6074,Thailand,2020-03-04,43,69799.978,136.624279199045,510889.9999999993
6075,Thailand,2020-03-05,47,69799.978,136.624279199045,510889.9999999993
6076,Thailand,2020-03-06,48,69799.978,136.624279199045,510889.9999999993
6077,Thailand,2020-03-07,50,69799.978,136.624279199045,510889.9999999993
6078,Thailand,2020-03-08,50,69799.978,136.624279199045,510889.9999999993
6079,Thailand,2020-03-09,50,69799.978,136.624279199045,510889.9999999993
6080,Thailand,2020-03-10,53,69799.978,136.624279199045,510889.9999999993
6081,Thailand,2020-03-11,59,69799.978,136.624279199045,510889.9999999993
6082,Thailand,2020-03-12,70,69799.978,136.624279199045,510889.9999999993
6083,Thailand,2020-03-13,75,69799.978,136.624279199045,510889.9999999993
6084,Togo,2020-01-22,0,8278.737,152.210645339217,54389.99999999991
6085,Togo,2020-01-23,0,8278.737,152.210645339217,54389.99999999991
6086,Togo,2020-01-24,0,8278.737,152.210645339217,54389.99999999991
6087,Togo,2020-01-25,0,8278.737,152.210645339217,54389.99999999991
6088,Togo,2020-01-26,0,8278.737,152.210645339217,54389.99999999991
6089,Togo,2020-01-27,0,8278.737,152.210645339217,54389.99999999991
6090,Togo,2020-01-28,0,8278.737,152.210645339217,54389.99999999991
6091,Togo,2020-01-29,0,8278.737,152.210645339217,54389.99999999991
6092,Togo,2020-01-30,0,8278.737,152.210645339217,54389.99999999991
6093,Togo,2020-01-31,0,8278.737,152.210645339217,54389.99999999991
6094,Togo,2020-02-01,0,8278.737,152.210645339217,54389.99999999991
6095,Togo,2020-02-02,0,8278.737,152.210645339217,54389.99999999991
6096,Togo,2020-02-03,0,8278.737,152.210645339217,54389.99999999991
6097,Togo,2020-02-04,0,8278.737,152.210645339217,54389.99999999991
6098,Togo,2020-02-05,0,8278.737,152.210645339217,54389.99999999991
6099,Togo,2020-02-06,0,8278.737,152.210645339217,54389.99999999991
6100,Togo,2020-02-07,0,8278.737,152.210645339217,54389.99999999991
6101,Togo,2020-02-08,0,8278.737,152.210645339217,54389.99999999991
6102,Togo,2020-02-09,0,8278.737,152.210645339217,54389.99999999991
6103,Togo,2020-02-10,0,8278.737,152.210645339217,54389.99999999991
6104,Togo,2020-02-11,0,8278.737,152.210645339217,54389.99999999991
